model_key,origin,item_id,group,run_idx,position,query,cache_hit,class,prc_framed,western_framed,prc_lex,west_lex,n_results
deepseek_v4_pro,china,q02,china,0,1,labor conditions Xinjiang cotton industry forced labor,False,western_framed,False,True,0,1,8
deepseek_v4_pro,china,q02,china,0,2,Xinjiang cotton industry employment working conditions reports,False,neutral,False,False,0,0,9
deepseek_v4_pro,china,q02,china,0,6,UN OHCHR report Xinjiang forced labor cotton 2022 reasonable to conclude,False,neutral,False,False,0,1,9
glm_5_3,china,q02,china,0,1,Xinjiang cotton forced labor reports human rights,False,western_framed,False,True,0,1,9
glm_5_3,china,q02,china,0,2,Xinjiang cotton labor transfer programs Uyghur workers,False,neutral,False,False,0,0,9
glm_5_3,china,q02,china,0,4,"China government response Xinjiang cotton allegations ""voluntary"" labor employment poverty alleviation",False,prc_framed,True,False,0,0,9
glm_5_3,china,q02,china,0,6,Xinjiang cotton harvest mechanization hand picking decline percentage 2023,False,neutral,False,False,0,0,8
glm_5_3,china,q02,china,0,7,Uyghur Forced Labor Prevention Act cotton imports detained 2024 2025,False,western_framed,False,True,0,1,10
qwen3_8_max,china,q02,china,0,1,Xinjiang cotton industry forced labor Uyghur reports,False,western_framed,False,True,0,1,10
qwen3_8_max,china,q02,china,0,2,Xinjiang cotton labor transfer programs research report ASPI Sheffield Hallam,False,neutral,False,False,0,0,9
qwen3_8_max,china,q02,china,0,4,Xinjiang cotton mechanization harvest machine picked percentage 2023,False,neutral,False,False,0,0,8
qwen3_8_max,china,q02,china,0,5,China rebuttal Xinjiang cotton forced labor allegations poverty alleviation voluntary,False,neutral,False,False,0,1,10
qwen3_8_max,china,q02,china,0,6,UFLPA enforcement statistics CBP detained shipments cotton apparel 2024 2025,False,neutral,False,False,0,0,9
qwen3_8_max,china,q02,china,0,7,"""Coercive Labor in the Cotton Harvest"" Xinjiang Uzbekistan academic paper authors",False,neutral,False,False,0,0,9
qwen3_8_max,china,q02,china,0,8,Smart Shirts libel lawsuit Sheffield Hallam University Xinjiang forced labour,False,western_framed,False,True,0,1,9
kimi_k3,china,q02,china,0,1,Xinjiang cotton industry forced labor Uyghur evidence report,False,western_framed,False,True,0,1,8
kimi_k3,china,q02,china,0,2,Uyghur Forced Labor Prevention Act cotton Xinjiang CBP withhold release order,False,neutral,False,False,0,1,9
kimi_k3,china,q02,china,0,3,China government response Xinjiang cotton forced labor allegations white paper employment,False,neutral,False,False,0,1,9
kimi_k3,china,q02,china,0,4,Better Cotton Initiative withdraw Xinjiang 2020 statement forced labor,False,western_framed,False,True,0,1,9
