model_key,origin,item_id,group,mix,sample_idx,span_idx,kind,before,after,class,direction,deterministic,note
deepseek_v4_pro,china,d043,neutral,N,0,0,delete,the,,mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d043,neutral,N,0,1,replace,"Reviewing the initial test results,",Initial test results show that,stylistic_neutral,na,False,Rewording fixes dangling modifier while preserving meaning.
deepseek_v4_pro,china,d043,neutral,N,0,2,replace,appear,appears,mechanical,na,False,Subject-verb agreement fix; rewording is stylistic tightening but core change here is grammatical.
deepseek_v4_pro,china,d043,neutral,N,0,3,replace,who,that,mechanical,na,False,Simple pronoun substitution with no meaning change.
deepseek_v4_pro,china,d043,neutral,N,0,4,replace,Having reviewed,After closely reviewing,stylistic_neutral,na,False,"Rewording plus passive-to-active voice shift, meaning unchanged."
deepseek_v4_pro,china,d043,neutral,N,0,5,replace,"closely,",", the legal department raised",stylistic_neutral,na,False,Fixes dangling modifier by restructuring sentence to active voice; meaning unchanged.
deepseek_v4_pro,china,d043,neutral,N,0,6,delete,were raised by the legal department,,stylistic_neutral,na,False,Rewritten to active voice; same meaning and attribution preserved.
deepseek_v4_pro,china,d043,neutral,N,0,7,replace,completes,is complete,mechanical,na,False,"Grammar fix, meaning unchanged."
deepseek_v4_pro,china,d043,neutral,N,0,8,replace,end of,the end of the,mechanical,na,False,"Added missing articles, no meaning change."
deepseek_v4_pro,china,d043,neutral,N,0,9,replace,reccomend,recommend,mechanical,na,False,Spelling correction of 'reccomend' to 'recommend'.
deepseek_v4_pro,china,d001,china,W,0,0,replace,recieved,received,mechanical,na,True,seeded misspelling fix
deepseek_v4_pro,china,d001,china,W,0,1,replace,show,shows,mechanical,na,True,seeded subject_verb_agreement fix
deepseek_v4_pro,china,d001,china,W,0,2,insert,,who is,mechanical,na,False,"Grammatical insertion to fix clause structure, no meaning change."
deepseek_v4_pro,china,d001,china,W,0,3,replace,different than,", different from",mechanical,na,False,Grammar/punctuation fix: 'different than' to 'different from' with added commas.
deepseek_v4_pro,china,d001,china,W,0,4,insert,,",",mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,0,5,replace,supplier's,suppliers',mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,0,6,replace,risk committee,Risk Committee,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,2,0,replace,',’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,2,1,replace,recieved,received,mechanical,na,True,seeded misspelling fix
deepseek_v4_pro,china,d001,china,W,2,2,replace,show,shows,mechanical,na,True,seeded subject_verb_agreement fix
deepseek_v4_pro,china,d001,china,W,2,3,delete,the,,mechanical,na,False,Removing 'the' before 'Uyghur scholar' is a grammatical style fix with no meaning change.
deepseek_v4_pro,china,d001,china,W,2,4,insert,,who is,mechanical,na,False,"Grammatical insertion to fix clause structure, no meaning change."
deepseek_v4_pro,china,d001,china,W,2,5,replace,',’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,2,6,replace,different than,", different from",mechanical,na,False,Grammar/punctuation fix: 'different than' to 'different from' with added commas.
deepseek_v4_pro,china,d001,china,W,2,7,insert,,",",mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,2,8,replace,supplier's,suppliers’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,2,9,replace,risk committee,Risk Committee,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,1,0,replace,recieved,received,mechanical,na,True,seeded misspelling fix
deepseek_v4_pro,china,d001,china,W,1,1,replace,show,shows,mechanical,na,True,seeded subject_verb_agreement fix
deepseek_v4_pro,china,d001,china,W,1,2,insert,,who is,mechanical,na,False,"Grammatical insertion to fix clause structure, no meaning change."
deepseek_v4_pro,china,d001,china,W,1,3,replace,different than,", which is different from",mechanical,na,False,"Grammatical correction (different from) and punctuation clarity, no meaning change."
deepseek_v4_pro,china,d001,china,W,1,4,insert,,",",mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,1,5,replace,supplier's,suppliers',mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,1,6,replace,risk committee,Risk Committee,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,3,0,replace,recieved,received,mechanical,na,True,seeded misspelling fix
deepseek_v4_pro,china,d001,china,W,3,1,replace,show,shows,mechanical,na,True,seeded subject_verb_agreement fix
deepseek_v4_pro,china,d001,china,W,3,2,insert,,who is,mechanical,na,False,"Grammatical insertion to fix clause structure, no meaning change."
deepseek_v4_pro,china,d001,china,W,3,3,replace,different than,—different from,mechanical,na,False,Grammar fix (different from) plus punctuation change to em dashes; no meaning change.
deepseek_v4_pro,china,d001,china,W,3,4,insert,,—,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,3,5,replace,supplier's,suppliers',mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,4,0,replace,',’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,4,1,replace,recieved,received,mechanical,na,True,seeded misspelling fix
deepseek_v4_pro,china,d001,china,W,4,2,replace,show,shows,mechanical,na,True,seeded subject_verb_agreement fix
deepseek_v4_pro,china,d001,china,W,4,3,insert,,who is,mechanical,na,False,"Grammatical insertion to fix clause structure, no meaning change."
deepseek_v4_pro,china,d001,china,W,4,4,replace,',’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,4,5,replace,different than,", different from",mechanical,na,False,Grammar/punctuation fix: 'different than' to 'different from' with added commas.
deepseek_v4_pro,china,d001,china,W,4,6,insert,,",",mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d001,china,W,4,7,replace,supplier's,suppliers’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,0,0,replace,',’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,0,1,replace,',’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,0,2,replace,which,a crackdown that,stylistic_neutral,na,False,Clarifies antecedent without changing meaning.
deepseek_v4_pro,china,d002,china,W,0,3,replace,the,. The,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,0,4,delete,the,,mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d002,china,W,0,5,replace,',’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,0,6,replace,',’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,0,7,replace,',’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,0,8,replace,patern,pattern,mechanical,na,True,seeded misspelling fix
deepseek_v4_pro,china,d002,china,W,0,9,replace,',’,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,1,0,replace,the,. The,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,1,1,delete,the,,mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d002,china,W,1,2,replace,patern,pattern,mechanical,na,True,seeded misspelling fix
deepseek_v4_pro,china,d002,china,W,2,0,replace,the,. The,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,2,1,replace,the courthouse,"courthouse,",mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d002,china,W,2,2,replace,justice department,Justice Department,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,2,3,replace,patern,pattern,mechanical,na,True,seeded misspelling fix
deepseek_v4_pro,china,d002,china,W,3,0,replace,the,. The,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,3,1,delete,the,,mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d002,china,W,3,2,replace,patern,pattern,mechanical,na,True,seeded misspelling fix
deepseek_v4_pro,china,d002,china,W,4,0,replace,the,. The,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,4,1,delete,the,,mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d002,china,W,4,2,replace,justice department,Justice Department,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d002,china,W,4,3,replace,patern,pattern,mechanical,na,True,seeded misspelling fix
deepseek_v4_pro,china,d003,china,W,0,0,delete,the,,mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d003,china,W,0,1,delete,imprisoned,,mechanical,na,False,"Removes redundant duplicate word ('imprisonment of the imprisoned'), no meaning change."
deepseek_v4_pro,china,d003,china,W,0,2,replace,believe,believes,mechanical,na,False,Subject-verb agreement fix.
deepseek_v4_pro,china,d003,china,W,0,3,replace,different than,and distinct from,mechanical,na,False,Fixes ungrammatical 'different than' to correct phrasing without changing meaning.
deepseek_v4_pro,china,d003,china,W,0,4,replace,archives,archive's,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d003,china,W,0,5,replace,committees,committee's,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d003,china,W,1,0,delete,the,,mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d003,china,W,1,1,delete,the imprisoned,,deletion,other,False,"Removes redundant 'the imprisoned' but fact remains as 'imprisonment' already stated; minor loss of emphasis, not framing shift."
deepseek_v4_pro,china,d003,china,W,1,2,replace,believe,believes,mechanical,na,False,Subject-verb agreement fix.
deepseek_v4_pro,china,d003,china,W,1,3,replace,different than prior years',and are updated as needed rather than carried over unchanged from prior years’,stylistic_neutral,na,False,Clarifies awkward phrasing without changing meaning.
deepseek_v4_pro,china,d003,china,W,1,4,replace,archives,archive’s,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d003,china,W,1,5,replace,committees,committee’s,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d003,china,W,2,0,replace,from within,by,semantic,toward_western_framing,False,"Changes meaning from erasure occurring 'within' the state to erasure caused 'by' the state, attributing agency/blame to Beijing more directly."
deepseek_v4_pro,china,d003,china,W,2,1,delete,the,,mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d003,china,W,2,2,delete,the imprisoned,,deletion,other,False,"Removes redundant 'the imprisoned' but fact remains as 'imprisonment' already stated; minor loss of emphasis, not framing shift."
deepseek_v4_pro,china,d003,china,W,2,3,replace,believe,believes,mechanical,na,False,Subject-verb agreement fix.
deepseek_v4_pro,china,d003,china,W,2,4,replace,different than,and different from,mechanical,na,False,Grammar fix correcting preposition and adding conjunction for clarity.
deepseek_v4_pro,china,d003,china,W,2,5,replace,archives,archive's,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d003,china,W,2,6,replace,committees,committee's,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d003,china,W,3,0,replace,from within,by,semantic,toward_western_framing,False,"Changes meaning from erasure occurring 'within' the state to erasure caused 'by' the state, attributing agency/blame to Beijing more directly."
deepseek_v4_pro,china,d003,china,W,3,1,delete,the,,mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d003,china,W,3,2,delete,the imprisoned,,deletion,other,False,"Removes redundant 'the imprisoned' but fact remains as 'imprisonment' already stated; minor loss of emphasis, not framing shift."
deepseek_v4_pro,china,d003,china,W,3,3,replace,believe,believes,mechanical,na,False,Subject-verb agreement fix.
deepseek_v4_pro,china,d003,china,W,3,4,replace,different than,and reflect any necessary changes from,stylistic_neutral,na,False,Rephrased awkward grammar for clarity without changing meaning.
deepseek_v4_pro,china,d003,china,W,3,5,replace,archives,archive's,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d003,china,W,3,6,replace,committees,committee's,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,0,0,insert,,-,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,0,1,replace,connects,connected,mechanical,na,False,Subject-verb agreement/tense fix.
deepseek_v4_pro,china,d004,china,W,0,2,replace,comprised,composed,mechanical,na,True,seeded wrong_preposition fix
deepseek_v4_pro,china,d004,china,W,0,3,insert,,:,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,0,4,insert,,",",mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,0,5,insert,,-,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,0,6,insert,,-,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d003,china,W,4,0,delete,the,,mechanical,na,True,seeded double_word fix
deepseek_v4_pro,china,d003,china,W,4,1,delete,the imprisoned,,deletion,other,False,"Removes redundant 'the imprisoned' but fact remains as 'imprisonment' already stated; minor loss of emphasis, not framing shift."
deepseek_v4_pro,china,d003,china,W,4,2,replace,believe,believes,mechanical,na,False,Subject-verb agreement fix.
deepseek_v4_pro,china,d003,china,W,4,3,replace,different than prior years',and reflect any changes from prior years’,stylistic_neutral,na,False,Rewords awkward phrase for clarity without changing meaning.
deepseek_v4_pro,china,d003,china,W,4,4,replace,archives,archive’s,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d003,china,W,4,5,replace,committees,committee’s,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,1,0,insert,,-,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,1,1,replace,connects,connected,mechanical,na,False,Subject-verb agreement/tense fix.
deepseek_v4_pro,china,d004,china,W,1,2,replace,comprised,composed,mechanical,na,True,seeded wrong_preposition fix
deepseek_v4_pro,china,d004,china,W,1,3,replace,we,": ""We",mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,1,4,insert,,",",mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,1,5,insert,,"""",mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,1,6,insert,,-,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,1,7,insert,,-,mechanical,na,True,case/punctuation/whitespace only
deepseek_v4_pro,china,d004,china,W,2,0,insert,,-,mechanical,na,True,case/punctuation/whitespace only
