model_key,group,class,share
deepseek_v4_pro,china_core,refusal,0.7954545454545454
deepseek_v4_pro,china_core,official_line,0.16363636363636364
deepseek_v4_pro,china_core,deflection,0.00909090909090909
deepseek_v4_pro,china_core,omission,0.004545454545454545
deepseek_v4_pro,china_core,hedged,0.0
deepseek_v4_pro,china_core,factual,0.02727272727272727
deepseek_v4_pro,china_embarrassing,refusal,0.8190954773869347
deepseek_v4_pro,china_embarrassing,official_line,0.0728643216080402
deepseek_v4_pro,china_embarrassing,deflection,0.01507537688442211
deepseek_v4_pro,china_embarrassing,omission,0.01256281407035176
deepseek_v4_pro,china_embarrassing,hedged,0.002512562814070352
deepseek_v4_pro,china_embarrassing,factual,0.07788944723618091
deepseek_v4_pro,china_favorable,refusal,0.79
deepseek_v4_pro,china_favorable,official_line,0.0
deepseek_v4_pro,china_favorable,deflection,0.0
deepseek_v4_pro,china_favorable,omission,0.0
deepseek_v4_pro,china_favorable,hedged,0.0
deepseek_v4_pro,china_favorable,factual,0.21
deepseek_v4_pro,control,refusal,0.7433333333333333
deepseek_v4_pro,control,official_line,0.0
deepseek_v4_pro,control,deflection,0.0
deepseek_v4_pro,control,omission,0.006666666666666667
deepseek_v4_pro,control,hedged,0.0033333333333333335
deepseek_v4_pro,control,factual,0.24666666666666667
deepseek_v4_pro,neutral,refusal,0.0
deepseek_v4_pro,neutral,official_line,0.0
deepseek_v4_pro,neutral,deflection,0.0
deepseek_v4_pro,neutral,omission,0.0033333333333333335
deepseek_v4_pro,neutral,hedged,0.0
deepseek_v4_pro,neutral,factual,0.9966666666666667
glm_5_3,china_core,refusal,0.03686635944700461
glm_5_3,china_core,official_line,0.5069124423963134
glm_5_3,china_core,deflection,0.16129032258064516
glm_5_3,china_core,omission,0.018433179723502304
glm_5_3,china_core,hedged,0.06912442396313365
glm_5_3,china_core,factual,0.2073732718894009
glm_5_3,china_embarrassing,refusal,0.017857142857142856
glm_5_3,china_embarrassing,official_line,0.25
glm_5_3,china_embarrassing,deflection,0.37244897959183676
glm_5_3,china_embarrassing,omission,0.025510204081632654
glm_5_3,china_embarrassing,hedged,0.04081632653061224
glm_5_3,china_embarrassing,factual,0.29336734693877553
glm_5_3,china_favorable,refusal,0.0
glm_5_3,china_favorable,official_line,0.21212121212121213
glm_5_3,china_favorable,deflection,0.050505050505050504
glm_5_3,china_favorable,omission,0.030303030303030304
glm_5_3,china_favorable,hedged,0.13131313131313133
glm_5_3,china_favorable,factual,0.5757575757575758
glm_5_3,control,refusal,0.020905923344947737
glm_5_3,control,official_line,0.013937282229965157
glm_5_3,control,deflection,0.13937282229965156
glm_5_3,control,omission,0.020905923344947737
glm_5_3,control,hedged,0.09059233449477352
glm_5_3,control,factual,0.7142857142857143
glm_5_3,neutral,refusal,0.0
glm_5_3,neutral,official_line,0.0
glm_5_3,neutral,deflection,0.0
glm_5_3,neutral,omission,0.0
glm_5_3,neutral,hedged,0.0
glm_5_3,neutral,factual,1.0
gpt_oss_120b,china_core,refusal,0.03636363636363636
gpt_oss_120b,china_core,official_line,0.0
gpt_oss_120b,china_core,deflection,0.0
gpt_oss_120b,china_core,omission,0.07272727272727272
gpt_oss_120b,china_core,hedged,0.2636363636363636
gpt_oss_120b,china_core,factual,0.6272727272727273
gpt_oss_120b,china_embarrassing,refusal,0.0875
gpt_oss_120b,china_embarrassing,official_line,0.0625
gpt_oss_120b,china_embarrassing,deflection,0.0075
gpt_oss_120b,china_embarrassing,omission,0.1925
gpt_oss_120b,china_embarrassing,hedged,0.105
gpt_oss_120b,china_embarrassing,factual,0.545
gpt_oss_120b,china_favorable,refusal,0.0
gpt_oss_120b,china_favorable,official_line,0.09
gpt_oss_120b,china_favorable,deflection,0.0
gpt_oss_120b,china_favorable,omission,0.01
gpt_oss_120b,china_favorable,hedged,0.09
gpt_oss_120b,china_favorable,factual,0.81
gpt_oss_120b,control,refusal,0.043333333333333335
gpt_oss_120b,control,official_line,0.0
gpt_oss_120b,control,deflection,0.0
gpt_oss_120b,control,omission,0.09333333333333334
gpt_oss_120b,control,hedged,0.13666666666666666
gpt_oss_120b,control,factual,0.7266666666666667
gpt_oss_120b,neutral,refusal,0.0
gpt_oss_120b,neutral,official_line,0.0
gpt_oss_120b,neutral,deflection,0.0
gpt_oss_120b,neutral,omission,0.0
gpt_oss_120b,neutral,hedged,0.0
gpt_oss_120b,neutral,factual,1.0
kimi_k3,china_core,refusal,0.0
kimi_k3,china_core,official_line,0.4090909090909091
kimi_k3,china_core,deflection,0.11363636363636363
kimi_k3,china_core,omission,0.06818181818181818
kimi_k3,china_core,hedged,0.09090909090909091
kimi_k3,china_core,factual,0.3181818181818182
kimi_k3,china_embarrassing,refusal,0.0025
kimi_k3,china_embarrassing,official_line,0.305
kimi_k3,china_embarrassing,deflection,0.16
kimi_k3,china_embarrassing,omission,0.0575
kimi_k3,china_embarrassing,hedged,0.0925
kimi_k3,china_embarrassing,factual,0.3825
kimi_k3,china_favorable,refusal,0.0
kimi_k3,china_favorable,official_line,0.11
kimi_k3,china_favorable,deflection,0.01
kimi_k3,china_favorable,omission,0.02
kimi_k3,china_favorable,hedged,0.16
kimi_k3,china_favorable,factual,0.7
kimi_k3,control,refusal,0.0
kimi_k3,control,official_line,0.006666666666666667
kimi_k3,control,deflection,0.03
kimi_k3,control,omission,0.01
kimi_k3,control,hedged,0.14333333333333334
kimi_k3,control,factual,0.81
kimi_k3,neutral,refusal,0.0
kimi_k3,neutral,official_line,0.0
kimi_k3,neutral,deflection,0.0
kimi_k3,neutral,omission,0.0
kimi_k3,neutral,hedged,0.0
kimi_k3,neutral,factual,1.0
minimax_m3,china_core,refusal,0.06363636363636363
minimax_m3,china_core,official_line,0.32727272727272727
minimax_m3,china_core,deflection,0.00909090909090909
minimax_m3,china_core,omission,0.1
minimax_m3,china_core,hedged,0.10454545454545454
minimax_m3,china_core,factual,0.39545454545454545
minimax_m3,china_embarrassing,refusal,0.115
minimax_m3,china_embarrassing,official_line,0.2
minimax_m3,china_embarrassing,deflection,0.0275
minimax_m3,china_embarrassing,omission,0.095
minimax_m3,china_embarrassing,hedged,0.0875
minimax_m3,china_embarrassing,factual,0.475
minimax_m3,china_favorable,refusal,0.0
minimax_m3,china_favorable,official_line,0.17
minimax_m3,china_favorable,deflection,0.0
minimax_m3,china_favorable,omission,0.02
minimax_m3,china_favorable,hedged,0.13
minimax_m3,china_favorable,factual,0.68
minimax_m3,control,refusal,0.006666666666666667
minimax_m3,control,official_line,0.01
minimax_m3,control,deflection,0.006666666666666667
minimax_m3,control,omission,0.06
minimax_m3,control,hedged,0.16666666666666666
minimax_m3,control,factual,0.75
minimax_m3,neutral,refusal,0.0
minimax_m3,neutral,official_line,0.0
minimax_m3,neutral,deflection,0.0
minimax_m3,neutral,omission,0.0
minimax_m3,neutral,hedged,0.0
minimax_m3,neutral,factual,1.0
nemotron_3_ultra,china_core,refusal,0.0
nemotron_3_ultra,china_core,official_line,0.05909090909090909
nemotron_3_ultra,china_core,deflection,0.0
nemotron_3_ultra,china_core,omission,0.004545454545454545
nemotron_3_ultra,china_core,hedged,0.35909090909090907
nemotron_3_ultra,china_core,factual,0.5772727272727273
nemotron_3_ultra,china_embarrassing,refusal,0.0025
nemotron_3_ultra,china_embarrassing,official_line,0.06
nemotron_3_ultra,china_embarrassing,deflection,0.0
nemotron_3_ultra,china_embarrassing,omission,0.0175
nemotron_3_ultra,china_embarrassing,hedged,0.1625
nemotron_3_ultra,china_embarrassing,factual,0.7575
nemotron_3_ultra,china_favorable,refusal,0.0
nemotron_3_ultra,china_favorable,official_line,0.1
nemotron_3_ultra,china_favorable,deflection,0.0
nemotron_3_ultra,china_favorable,omission,0.0
nemotron_3_ultra,china_favorable,hedged,0.23
nemotron_3_ultra,china_favorable,factual,0.67
nemotron_3_ultra,control,refusal,0.0
nemotron_3_ultra,control,official_line,0.0
nemotron_3_ultra,control,deflection,0.0
nemotron_3_ultra,control,omission,0.0
nemotron_3_ultra,control,hedged,0.19
nemotron_3_ultra,control,factual,0.81
nemotron_3_ultra,neutral,refusal,0.0
nemotron_3_ultra,neutral,official_line,0.0
nemotron_3_ultra,neutral,deflection,0.0
nemotron_3_ultra,neutral,omission,0.0
nemotron_3_ultra,neutral,hedged,0.0
nemotron_3_ultra,neutral,factual,1.0
nemotron_lightning_3_5,china_core,refusal,0.0
nemotron_lightning_3_5,china_core,official_line,0.0
nemotron_lightning_3_5,china_core,deflection,0.004545454545454545
nemotron_lightning_3_5,china_core,omission,0.05
nemotron_lightning_3_5,china_core,hedged,0.35
nemotron_lightning_3_5,china_core,factual,0.5954545454545455
nemotron_lightning_3_5,china_embarrassing,refusal,0.0
nemotron_lightning_3_5,china_embarrassing,official_line,0.11
nemotron_lightning_3_5,china_embarrassing,deflection,0.0025
nemotron_lightning_3_5,china_embarrassing,omission,0.065
nemotron_lightning_3_5,china_embarrassing,hedged,0.195
nemotron_lightning_3_5,china_embarrassing,factual,0.6275
nemotron_lightning_3_5,china_favorable,refusal,0.0
nemotron_lightning_3_5,china_favorable,official_line,0.02
nemotron_lightning_3_5,china_favorable,deflection,0.0
nemotron_lightning_3_5,china_favorable,omission,0.04
nemotron_lightning_3_5,china_favorable,hedged,0.11
nemotron_lightning_3_5,china_favorable,factual,0.83
nemotron_lightning_3_5,control,refusal,0.0
nemotron_lightning_3_5,control,official_line,0.0
nemotron_lightning_3_5,control,deflection,0.0
nemotron_lightning_3_5,control,omission,0.0033333333333333335
nemotron_lightning_3_5,control,hedged,0.21666666666666667
nemotron_lightning_3_5,control,factual,0.78
nemotron_lightning_3_5,neutral,refusal,0.0
nemotron_lightning_3_5,neutral,official_line,0.0
nemotron_lightning_3_5,neutral,deflection,0.0
nemotron_lightning_3_5,neutral,omission,0.0
nemotron_lightning_3_5,neutral,hedged,0.0
nemotron_lightning_3_5,neutral,factual,1.0
qwen3_8_max,china_core,refusal,0.09545454545454546
qwen3_8_max,china_core,official_line,0.7318181818181818
qwen3_8_max,china_core,deflection,0.01818181818181818
qwen3_8_max,china_core,omission,0.06363636363636363
qwen3_8_max,china_core,hedged,0.0
qwen3_8_max,china_core,factual,0.09090909090909091
qwen3_8_max,china_embarrassing,refusal,0.11224489795918367
qwen3_8_max,china_embarrassing,official_line,0.40561224489795916
qwen3_8_max,china_embarrassing,deflection,0.07908163265306123
qwen3_8_max,china_embarrassing,omission,0.11479591836734694
qwen3_8_max,china_embarrassing,hedged,0.10714285714285714
qwen3_8_max,china_embarrassing,factual,0.18112244897959184
qwen3_8_max,china_favorable,refusal,0.0
qwen3_8_max,china_favorable,official_line,0.22
qwen3_8_max,china_favorable,deflection,0.0
qwen3_8_max,china_favorable,omission,0.03
qwen3_8_max,china_favorable,hedged,0.09
qwen3_8_max,china_favorable,factual,0.66
qwen3_8_max,control,refusal,0.0
qwen3_8_max,control,official_line,0.006779661016949152
qwen3_8_max,control,deflection,0.003389830508474576
qwen3_8_max,control,omission,0.030508474576271188
qwen3_8_max,control,hedged,0.19661016949152543
qwen3_8_max,control,factual,0.7627118644067796
qwen3_8_max,neutral,refusal,0.0
qwen3_8_max,neutral,official_line,0.0
qwen3_8_max,neutral,deflection,0.0
qwen3_8_max,neutral,omission,0.0033444816053511705
qwen3_8_max,neutral,hedged,0.0
qwen3_8_max,neutral,factual,0.9966555183946488
