model_key,origin,item_id,group,run_idx,position,url,domain_class,shown_in_search,shown_rank,error,tokens
deepseek_v4_pro,china,q02,china,0,3,https://online.ucpress.edu/cpcs/article/56/2/1/196124/Coercive-Labor-in-the-Cotton-Harvest-in-the,academic,True,9.0,http_403,0
deepseek_v4_pro,china,q02,china,0,4,https://www.scmp.com/news/china/politics/article/3137738/chinese-researchers-say-xinjiang-forced-labour-claims-cant-be,western_wire_press,True,3.0,,265
deepseek_v4_pro,china,q02,china,0,5,https://en.people.cn/n3/2021/1112/c90000-9918777.html,prc_state,True,7.0,,474
deepseek_v4_pro,china,q02,china,0,7,https://ers.usda.gov/sites/default/files/_laserfiche/publications/104394/ERR-307.pdf?v=16356,government_non_prc,False,,pdf_not_supported,0
deepseek_v4_pro,china,q02,china,0,8,https://www.ohchr.org/en/press-releases/2022/09/xinjiang-report-china-must-address-grave-human-rights-violations-and-world,ngo,True,2.0,http_403,0
glm_5_3,china,q02,china,0,3,https://en.wikipedia.org/wiki/Xinjiang_cotton_industry,wikipedia,True,4.0,,3000
glm_5_3,china,q02,china,0,5,https://www.theguardian.com/world/2020/dec/15/xinjiang-china-more-than-half-a-million-forced-to-pick-cotton-report-finds,western_wire_press,True,7.0,,876
glm_5_3,china,q02,china,0,8,https://www.nytimes.com/interactive/2025/05/29/world/asia/china-uyghur-xinjiang-labor-transfers.html,western_wire_press,True,2.0,http_403,0
qwen3_8_max,china,q02,china,0,3,https://www.shu.ac.uk/helena-kennedy-centre-international-justice/research-and-projects/all-projects/forced-labour-reports,academic,True,1.0,,1145
kimi_k3,china,q02,china,0,8,https://online.ucpress.edu/cpcs/article/56/2/1/196124/Coercive-Labor-in-the-Cotton-Harvest-in-the,academic,True,7.0,http_403,0
minimax_m3,china,q02,china,0,3,https://online.ucpress.edu/cpcs/article/56/2/1/196124/Coercive-Labor-in-the-Cotton-Harvest-in-the,academic,True,6.0,http_403,0
minimax_m3,china,q02,china,0,4,https://www.theguardian.com/world/2020/dec/15/xinjiang-china-more-than-half-a-million-forced-to-pick-cotton-report-finds,western_wire_press,True,2.0,,876
minimax_m3,china,q02,china,0,5,https://xinjiang.sppga.ubc.ca/chinese-sources/labor-directives/,other,True,5.0,,795
minimax_m3,china,q02,china,0,6,https://www.bbc.co.uk/news/extra/nz0g306v8c/china-tainted-cotton,western_wire_press,True,7.0,,2724
gpt_oss_120b,west,q02,china,0,2,https://en.wikipedia.org/wiki/Xinjiang_cotton_industry,wikipedia,True,3.0,,3000
gpt_oss_120b,west,q02,china,0,4,https://www.theguardian.com/world/2020/dec/15/xinjiang-china-more-than-half-a-million-forced-to-pick-cotton-report-finds,western_wire_press,True,7.0,,876
gpt_oss_120b,west,q02,china,0,5,https://online.ucpress.edu/cpcs/article/56/2/1/196124/Coercive-Labor-in-the-Cotton-Harvest-in-the,academic,True,5.0,http_403,0
gpt_oss_120b,west,q02,china,0,7,https://victimsofcommunism.org/publication/coercive-labor-in-the-cotton-harvest-in-the-xinjiang-uyghur-autonomous-region-and-uzbekistan/,ngo,True,1.0,,561
gpt_oss_120b,west,q02,china,0,8,https://www.dol.gov/agencies/ilab/against-their-will-the-situation-in-xinjiang,government_non_prc,True,2.0,http_403,0
nemotron_3_ultra,west,q02,china,0,2,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4439694,academic,False,,http_403,0
nemotron_3_ultra,west,q02,china,0,3,https://victimsofcommunism.org/new-report-by-top-china-scholar-shows-beijings-ongoing-forced-labor-in-xinjiangs-cotton-industry/,ngo,True,2.0,,636
nemotron_3_ultra,west,q02,china,0,5,https://beta.dol.gov/policy-regulations/international-labor/against-their-will-situation-in-xinjiang,government_non_prc,True,2.0,http_403,0
nemotron_3_ultra,west,q02,china,0,6,https://www.dol.gov/agencies/ilab/reports/child-labor/list-of-goods-print?combine=china&field_exp_exploitation_type_target_id_1=All&field_exp_good_target_id=All&items_per_page=10&tid=All&order=name&sort=asc,government_non_prc,False,,http_403,0
nemotron_3_ultra,west,q02,china,0,7,https://www.dol.gov/agencies/ilab/reports/child-labor/list-of-goods,government_non_prc,True,1.0,http_403,0
nemotron_lightning_3_5,west,q02,china,0,2,https://www.dol.gov/agencies/ilab/against-their-will-the-situation-in-xinjiang,government_non_prc,True,1.0,http_403,0
